# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor.Bulk.Cfg.Hyb393K3	52.0	7391
FourColor.Bulk.Cfg.Hyb398	51.6	4469
FourColor.Bulk.Cfg.Hyb410	13.3	2752
FourColor.Bulk.Cfg.Hyb411	12.4	2754
FourColor.Bulk.Cfg.Hyb427	12.0	2732
FourColor.Bulk.Cfg.Hyb444	24.6	3165
FourColor.Bulk.Cfg.Hyb445	22.4	3145
FourColor.Bulk.Cfg.Hyb447	25.3	3170
FourColor.Bulk.Cfg.Hyb448	20.6	3150
FourColor.Bulk.Cfg.Hyb453	45.8	3423
FourColor.Bulk.Cfg.Hyb455	23.5	3150
FourColor.Bulk.Cfg.Hyb456	19.1	3150
FourColor.Bulk.Cfg.Hyb457	20.9	3152
FourColor.Bulk.Cfg.Hyb458	19.7	3138
FourColor.Bulk.Cfg.Hyb460	20.4	3153
FourColor.Bulk.Cfg.Hyb465	25.9	3221
FourColor.Bulk.Cfg.Hyb467	21.6	3152
FourColor.Bulk.Cfg.Hyb469	25.8	3170
FourColor.Bulk.Cfg.Hyb473	19.8	3065
FourColor.Bulk.Cfg.Hyb485	41.0	4242
FourColor.Bulk.Cfg.Hyb489	43.4	4242
FourColor.Bulk.Cfg.Hyb498	40.1	4469
FourColor.Bulk.Cfg.Hyb501	51.8	4484
FourColor.Bulk.Cfg.Hyb502	47.5	4470
FourColor.Bulk.Cfg.Hyb504	54.2	4472
FourColor.Bulk.Cfg.Hyb506	47.3	4466
FourColor.Bulk.Cfg.Hyb521	25.2	3178
FourColor.Bulk.Cfg.Hyb530	38.9	4461
FourColor.Bulk.Cfg.Hyb534	47.5	4466
FourColor.Bulk.Cfg.Hyb539	15.9	3080
FourColor.Bulk.Cfg.Hyb541	40.9	4467
FourColor.Bulk.Cfg.Hyb542	40.7	4468
FourColor.Bulk.Cfg.Hyb549	47.0	4247
FourColor.Bulk.Cfg.Hyb558	20.3	3150
FourColor.Bulk.Cfg.Hyb561	2.2	2492
FourColor.Bulk.Cfg.Hyb561A	14.1	4204
FourColor.Bulk.Cfg.Hyb561B	240.6	17864
FourColor.Bulk.Cfg.Hyb561C	198.4	3104
FourColor.Bulk.Cfg.Hyb561D	27.1	2592
FourColor.Bulk.Cfg.Hyb561K1	177.6	12705
FourColor.Bulk.Cfg.Hyb561K2	173.2	12777
FourColor.Bulk.Cfg.Hyb561K3	128.9	12934
FourColor.Bulk.Cfg.Hyb562	45.2	4466
FourColor.Bulk.Cfg.Hyb574	24.2	2913
FourColor.Bulk.Cfg.Hyb575	13.5	2739
FourColor.Bulk.Cfg.Hyb583	25.4	3161
FourColor.Bulk.Cfg.Hyb584	19.6	3152
FourColor.Bulk.Cfg.Hyb587	25.8	3180
FourColor.Bulk.Cfg.Hyb592	21.5	3101
FourColor.Bulk.Cfg.Hyb602	20.5	3158
FourColor.Bulk.Cfg.Hyb612	2.1	2492
FourColor.Bulk.Cfg.Hyb612A	14.3	4202
FourColor.Bulk.Cfg.Hyb612B	138.7	11652
FourColor.Bulk.Cfg.Hyb612C	108.6	3044
FourColor.Bulk.Cfg.Hyb612D	23.1	2590
FourColor.Bulk.Cfg.Hyb612K1	84.4	9070
FourColor.Bulk.Cfg.Hyb612K2	91.0	9223
FourColor.Bulk.Cfg.Hyb612K3	69.8	9192
FourColor.Bulk.Cfg.Hyb617	43.2	4465
FourColor.Bulk.Cfg.Hyb619	44.2	4468
FourColor.Bulk.Cfg.Hyb620	42.2	4466
FourColor.Bulk.Cfg.Hyb625	21.0	3152
FourColor.Bulk.Cfg.Hyb629	54.7	4616
FourColor.Bulk.Checks	1.6	1778
FourColor.Bulk.Chords	2.6	1747
FourColor.Bulk.Coclosure	1.1	1590
FourColor.Bulk.Digits	2.5	1859
FourColor.Bulk.Flip	2.0	1844
FourColor.Bulk.Fold	3.7	2166
FourColor.Bulk.FoldList	2.5	2030
FourColor.Bulk.Hybrid	2.6	2047
FourColor.Bulk.HybridC	4.1	2092
FourColor.Bulk.HybridT	10.3	3420
FourColor.Bulk.Index	1.9	1783
FourColor.Bulk.Kempe	7.9	1841
FourColor.Bulk.Lanes	2.3	2097
FourColor.Bulk.Lit	1.0	1586
FourColor.Bulk.Masks	2.2	1822
FourColor.Bulk.Move	1.8	1815
FourColor.Bulk.Pair	1.6	1806
FourColor.Bulk.Perms	2.1	1816
FourColor.Bulk.Reducible	1.6	2030
FourColor.Bulk.Small	3.9	2109
FourColor.Cert	1.8	2030
FourColor.CertBase	1.4	1996
FourColor.CertFlip	1.5	1619
FourColor.CfColor	3.6	2090
FourColor.CfContract	11.4	2448
FourColor.CfMap	6.6	2273
FourColor.CfQuiz	15.7	2229
FourColor.CfReducible	1.6	2032
FourColor.Chromogram	2.2	1681
FourColor.Color	3.1	1746
FourColor.Coloring	3.5	2015
FourColor.Combinatorial	1.6	2188
FourColor.Complete	2.7	3231
FourColor.Component	1.3	1780
FourColor.Configurations	12.8	2463
FourColor.Contract	3.1	2121
FourColor.Ctree	2.2	1685
FourColor.CtreeRestrict	4.4	1626
FourColor.Cube	1.9	2012
FourColor.Discharge	2.5	2099
FourColor.Discretize	2.3	2254
FourColor.Dyck	0.9	1211
FourColor.Embed	7.1	2287
FourColor.Euler	1.4	1960
FourColor.EulerTree	2.0	2019
FourColor.Finitize	2.0	2220
FourColor.FourColorTheorem	2.3	2185
FourColor.Geometry	2.9	2040
FourColor.Grid	2.9	2099
FourColor.GridMap	3.5	2118
FourColor.Gtree	2.0	1645
FourColor.GtreeRestrict	1.7	1627
FourColor.HubCap	3.2	2088
FourColor.Hypermap	2.1	2003
FourColor.InitCtree	2.3	1696
FourColor.InitGtree	2.3	1690
FourColor.Jordan	2.2	2017
FourColor.Kempe	6.5	2163
FourColor.KempeTree	4.1	1706
FourColor.Main	2.0	2254
FourColor.Mask.Cfg033	1.7	2085
FourColor.Mask.Cfg051	1.9	2085
FourColor.Mask.Cfg059	2.0	2091
FourColor.Mask.Cfg072	2.2	2114
FourColor.Mask.Cfg073	2.0	2102
FourColor.Mask.Cfg079	2.0	2086
FourColor.Mask.Cfg082	25.3	3337
FourColor.Mask.Cfg094	2.4	2189
FourColor.Mask.Cfg138	2.4	2160
FourColor.Mask.Cfg140	2.2	2153
FourColor.Mask.Cfg141	1.7	2061
FourColor.Mask.Cfg143	1.9	2060
FourColor.Mask.Cfg144	2.0	2077
FourColor.Mask.Cfg145	2.1	2093
FourColor.Mask.Cfg151	41.4	3268
FourColor.Mask.Cfg171	1.9	2073
FourColor.Mask.Cfg179	2.0	2080
FourColor.Mask.Cfg181	3.9	2303
FourColor.Mask.Cfg191	4.8	2441
FourColor.Mask.Cfg192	3.6	2308
FourColor.Mask.Cfg194	3.2	2197
FourColor.Mask.Cfg196	3.7	2260
FourColor.Mask.Cfg197	3.4	2252
FourColor.Mask.Cfg202	4.7	2443
FourColor.Mask.Cfg203	1.8	2092
FourColor.Mask.Cfg218	358.1	2633
FourColor.Mask.Cfg227	2.3	2140
FourColor.Mask.Cfg228	2.7	2139
FourColor.Mask.Cfg230	3.4	2256
FourColor.Mask.Cfg234	4.3	2359
FourColor.Mask.Cfg252	2.7	2186
FourColor.Mask.Cfg254	2.6	2117
FourColor.Mask.Cfg256	1.9	2092
FourColor.Mask.Cfg259	2.6	2136
FourColor.Mask.Cfg261	3.8	2308
FourColor.Mask.Cfg280	322.8	2775
FourColor.Mask.Cfg282	2.3	2050
FourColor.Mask.Cfg285	3.3	2213
FourColor.Mask.Cfg289	9.6	3055
FourColor.Mask.Cfg290	2.3	2112
FourColor.Mask.Cfg292	4.9	2429
FourColor.Mask.Cfg295	6.1	2611
FourColor.Mask.Cfg300	5.5	2493
FourColor.Mask.Cfg303	6.3	2619
FourColor.Mask.Cfg308	3.7	2252
FourColor.Mask.Cfg310	2.6	2174
FourColor.Mask.Cfg311	4.0	2369
FourColor.Mask.Cfg317	6.2	2629
FourColor.Mask.Cfg335	2.1	2097
FourColor.Mask.Cfg338	1.8	2080
FourColor.Mask.Cfg353	2.1	2106
FourColor.Mask.Cfg355	2.1	2076
FourColor.Mask.Cfg358	2.2	2122
FourColor.Mask.Cfg361	2.1	2090
FourColor.Mask.Cfg364	1.9	2085
FourColor.Mask.Cfg376	2.6	2178
FourColor.Mask.Cfg377	3.4	2242
FourColor.Mask.Cfg378	2.8	2153
FourColor.Mask.Cfg379	1.8	2086
FourColor.Mask.Cfg380	1.9	2097
FourColor.Mask.Cfg381	3.5	2304
FourColor.Mask.Cfg393	194.9	2797
FourColor.Mask.Cfg398	6.1	2605
FourColor.Mask.Cfg410	2.3	2094
FourColor.Mask.Cfg411	1.9	2094
FourColor.Mask.Cfg427	2.2	2081
FourColor.Mask.Cfg444	3.9	2312
FourColor.Mask.Cfg445	3.0	2204
FourColor.Mask.Cfg447	4.5	2372
FourColor.Mask.Cfg448	2.2	2094
FourColor.Mask.Cfg453	19.4	3679
FourColor.Mask.Cfg455	2.8	2180
FourColor.Mask.Cfg456	1.7	2077
FourColor.Mask.Cfg457	2.2	2100
FourColor.Mask.Cfg458	2.6	2200
FourColor.Mask.Cfg460	2.3	2100
FourColor.Mask.Cfg465	5.8	2546
FourColor.Mask.Cfg467	2.3	2131
FourColor.Mask.Cfg469	6.8	2689
FourColor.Mask.Cfg473	2.1	2086
FourColor.Mask.Cfg485	3.3	2276
FourColor.Mask.Cfg489	4.0	2312
FourColor.Mask.Cfg498	3.3	2227
FourColor.Mask.Cfg501	6.3	2646
FourColor.Mask.Cfg502	4.3	2362
FourColor.Mask.Cfg504	6.6	2649
FourColor.Mask.Cfg506	5.1	2486
FourColor.Mask.Cfg521	2.9	2185
FourColor.Mask.Cfg530	2.2	2103
FourColor.Mask.Cfg534	6.0	2551
FourColor.Mask.Cfg539	1.8	2076
FourColor.Mask.Cfg541	2.0	2096
FourColor.Mask.Cfg542	2.8	2149
FourColor.Mask.Cfg549	5.5	2475
FourColor.Mask.Cfg558	2.4	2095
FourColor.Mask.Cfg561	518.4	3092
FourColor.Mask.Cfg562	2.7	2173
FourColor.Mask.Cfg574	11.3	3260
FourColor.Mask.Cfg575	2.0	2090
FourColor.Mask.Cfg583	4.6	2408
FourColor.Mask.Cfg584	2.2	2108
